date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:30:36	75174/75174	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Jul%202023%2020:25:28%20GMT	https://ex123421.my.canva.site/	C:/My%20Web%20Sites/ljjjkj/ex123421.my.canva.site/index.html	(from )
00:30:36	394/394	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2014%20Jul%202023%2020:30:28%20GMT	https://ex123421.my.canva.site/robots.txt		(from )
00:30:37	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2014%20Jul%202023%2020:30:34%20GMT	http://ex123421.my.canva.site/26387fa4f5b1e3f7b6217b27d79bf264.png	C:/My%20Web%20Sites/ljjjkj/ex123421.my.canva.site/26387fa4f5b1e3f7b6217b27d79bf264.0.delayed	(from https://ex123421.my.canva.site/)
00:30:37	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2014%20Jul%202023%2020:30:35%20GMT	http://ex123421.my.canva.site/2d0b56e7e51cf11036ad8734bdb67e2d.png	C:/My%20Web%20Sites/ljjjkj/ex123421.my.canva.site/2d0b56e7e51cf11036ad8734bdb67e2d.png	(from https://ex123421.my.canva.site/)
00:30:37	510/510	---MC-	200	added ('OK')	image/png	date:Fri,%2014%20Jul%202023%2020:30:35%20GMT	https://ex123421.my.canva.site/26387fa4f5b1e3f7b6217b27d79bf264.png	C:/My%20Web%20Sites/ljjjkj/ex123421.my.canva.site/26387fa4f5b1e3f7b6217b27d79bf264.png	(from https://ex123421.my.canva.site/)
00:30:38	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2014%20Jul%202023%2020:30:35%20GMT	http://ex123421.my.canva.site/725b756a69a7d4c235070e51acd85560.png	C:/My%20Web%20Sites/ljjjkj/ex123421.my.canva.site/725b756a69a7d4c235070e51acd85560.png	(from https://ex123421.my.canva.site/)
00:30:38	1053/1053	---MC-	200	added ('OK')	image/png	date:Fri,%2014%20Jul%202023%2020:30:35%20GMT	https://ex123421.my.canva.site/2d0b56e7e51cf11036ad8734bdb67e2d.png	C:/My%20Web%20Sites/ljjjkj/ex123421.my.canva.site/2d0b56e7e51cf11036ad8734bdb67e2d.png	(from https://ex123421.my.canva.site/)
00:30:38	6245/6245	---MC-	200	added ('OK')	image/png	date:Fri,%2014%20Jul%202023%2020:30:36%20GMT	https://ex123421.my.canva.site/725b756a69a7d4c235070e51acd85560.png	C:/My%20Web%20Sites/ljjjkj/ex123421.my.canva.site/725b756a69a7d4c235070e51acd85560.png	(from https://ex123421.my.canva.site/)
00:30:39	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2014%20Jul%202023%2020:30:36%20GMT	http://ex123421.my.canva.site/fonts/7f3d50824f5578bd508cc1dff0b95b26.woff2	C:/My%20Web%20Sites/ljjjkj/ex123421.my.canva.site/fonts/7f3d50824f5578bd508cc1dff0b95b26.woff2	(from https://ex123421.my.canva.site/)
00:30:39	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2014%20Jul%202023%2020:30:36%20GMT	http://ex123421.my.canva.site/fonts/40335ed6952d868afeb4484433688eda.woff2	C:/My%20Web%20Sites/ljjjkj/ex123421.my.canva.site/fonts/40335ed6952d868afeb4484433688eda.woff2	(from https://ex123421.my.canva.site/)
00:30:39	34004/34004	---MC-	200	added ('OK')	application/octet-stream	date:Fri,%2014%20Jul%202023%2020:25:30%20GMT	https://ex123421.my.canva.site/fonts/7f3d50824f5578bd508cc1dff0b95b26.woff2	C:/My%20Web%20Sites/ljjjkj/ex123421.my.canva.site/fonts/7f3d50824f5578bd508cc1dff0b95b26.woff2	(from https://ex123421.my.canva.site/)
00:30:39	252804/252804	---MC-	200	added ('OK')	image/png	date:Fri,%2014%20Jul%202023%2020:30:36%20GMT	https://ex123421.my.canva.site/e0a25845cc90b49d3e84a5d35a642376.png	C:/My%20Web%20Sites/ljjjkj/ex123421.my.canva.site/e0a25845cc90b49d3e84a5d35a642376.png	(from https://ex123421.my.canva.site/)
00:30:41	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2014%20Jul%202023%2020:30:38%20GMT	http://ex123421.my.canva.site/fonts/6fca1531cbd0f298ca25a5524981c887.woff2	C:/My%20Web%20Sites/ljjjkj/ex123421.my.canva.site/fonts/6fca1531cbd0f298ca25a5524981c887.woff2	(from https://ex123421.my.canva.site/)
00:30:43	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2014%20Jul%202023%2020:30:40%20GMT	http://ex123421.my.canva.site/fonts/0fde5eeb51bceeec52453d7acc465f9c.woff2	C:/My%20Web%20Sites/ljjjkj/ex123421.my.canva.site/fonts/0fde5eeb51bceeec52453d7acc465f9c.woff2	(from https://ex123421.my.canva.site/)
00:30:43	27428/27428	---MC-	200	added ('OK')	application/octet-stream	date:Fri,%2014%20Jul%202023%2020:30:39%20GMT	https://ex123421.my.canva.site/fonts/6fca1531cbd0f298ca25a5524981c887.woff2	C:/My%20Web%20Sites/ljjjkj/ex123421.my.canva.site/fonts/6fca1531cbd0f298ca25a5524981c887.woff2	(from https://ex123421.my.canva.site/)
00:30:43	34708/34708	---MC-	200	added ('OK')	application/octet-stream	date:Fri,%2014%20Jul%202023%2020:30:38%20GMT	https://ex123421.my.canva.site/fonts/40335ed6952d868afeb4484433688eda.woff2	C:/My%20Web%20Sites/ljjjkj/ex123421.my.canva.site/fonts/40335ed6952d868afeb4484433688eda.woff2	(from https://ex123421.my.canva.site/)
00:30:45	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2014%20Jul%202023%2020:30:41%20GMT	http://ex123421.my.canva.site/fonts/fd2a15810288e5ff1309e5dd77175f6a.woff2	C:/My%20Web%20Sites/ljjjkj/ex123421.my.canva.site/fonts/fd2a15810288e5ff1309e5dd77175f6a.woff2	(from https://ex123421.my.canva.site/)
00:30:45	32520/32520	---MC-	200	added ('OK')	application/octet-stream	date:Fri,%2014%20Jul%202023%2020:30:41%20GMT	https://ex123421.my.canva.site/fonts/0fde5eeb51bceeec52453d7acc465f9c.woff2	C:/My%20Web%20Sites/ljjjkj/ex123421.my.canva.site/fonts/0fde5eeb51bceeec52453d7acc465f9c.woff2	(from https://ex123421.my.canva.site/)
00:30:45	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2014%20Jul%202023%2020:30:43%20GMT	http://ex123421.my.canva.site/fonts/8f7934b3d45567e9cf1f541e008969a9.woff2	C:/My%20Web%20Sites/ljjjkj/ex123421.my.canva.site/fonts/8f7934b3d45567e9cf1f541e008969a9.woff2	(from https://ex123421.my.canva.site/)
00:30:45	32744/32744	---MC-	200	added ('OK')	application/octet-stream	date:Fri,%2014%20Jul%202023%2020:30:42%20GMT	https://ex123421.my.canva.site/fonts/fd2a15810288e5ff1309e5dd77175f6a.woff2	C:/My%20Web%20Sites/ljjjkj/ex123421.my.canva.site/fonts/fd2a15810288e5ff1309e5dd77175f6a.woff2	(from https://ex123421.my.canva.site/)
00:30:47	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2014%20Jul%202023%2020:30:43%20GMT	http://ex123421.my.canva.site/fonts/9340013c7d177c83df1edab0cf96ac10.woff2	C:/My%20Web%20Sites/ljjjkj/ex123421.my.canva.site/fonts/9340013c7d177c83df1edab0cf96ac10.woff2	(from https://ex123421.my.canva.site/)
00:30:47	31076/31076	---MC-	200	added ('OK')	application/octet-stream	date:Fri,%2014%20Jul%202023%2020:30:43%20GMT	https://ex123421.my.canva.site/fonts/8f7934b3d45567e9cf1f541e008969a9.woff2	C:/My%20Web%20Sites/ljjjkj/ex123421.my.canva.site/fonts/8f7934b3d45567e9cf1f541e008969a9.woff2	(from https://ex123421.my.canva.site/)
00:30:47	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2014%20Jul%202023%2020:30:45%20GMT	http://ex123421.my.canva.site/fonts/e005df7c7c34fefde116ba9b5a0e51e1.woff2	C:/My%20Web%20Sites/ljjjkj/ex123421.my.canva.site/fonts/e005df7c7c34fefde116ba9b5a0e51e1.woff2	(from https://ex123421.my.canva.site/)
00:30:47	30896/30896	---MC-	200	added ('OK')	application/octet-stream	date:Fri,%2014%20Jul%202023%2020:30:44%20GMT	https://ex123421.my.canva.site/fonts/9340013c7d177c83df1edab0cf96ac10.woff2	C:/My%20Web%20Sites/ljjjkj/ex123421.my.canva.site/fonts/9340013c7d177c83df1edab0cf96ac10.woff2	(from https://ex123421.my.canva.site/)
00:30:48	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2014%20Jul%202023%2020:30:45%20GMT	http://ex123421.my.canva.site/fonts/83b37f2dcbb18c810da7cfa915708210.woff2	C:/My%20Web%20Sites/ljjjkj/ex123421.my.canva.site/fonts/83b37f2dcbb18c810da7cfa915708210.woff2	(from https://ex123421.my.canva.site/)
00:30:48	32560/32560	---MC-	200	added ('OK')	application/octet-stream	date:Fri,%2014%20Jul%202023%2020:30:45%20GMT	https://ex123421.my.canva.site/fonts/e005df7c7c34fefde116ba9b5a0e51e1.woff2	C:/My%20Web%20Sites/ljjjkj/ex123421.my.canva.site/fonts/e005df7c7c34fefde116ba9b5a0e51e1.woff2	(from https://ex123421.my.canva.site/)
00:30:49	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2014%20Jul%202023%2020:30:46%20GMT	http://ex123421.my.canva.site/fonts/f8f199f09526f79e87644ed227e0f651.woff2	C:/My%20Web%20Sites/ljjjkj/ex123421.my.canva.site/fonts/f8f199f09526f79e87644ed227e0f651.woff2	(from https://ex123421.my.canva.site/)
00:30:49	32452/32452	---MC-	200	added ('OK')	application/octet-stream	date:Fri,%2014%20Jul%202023%2020:30:45%20GMT	https://ex123421.my.canva.site/fonts/83b37f2dcbb18c810da7cfa915708210.woff2	C:/My%20Web%20Sites/ljjjkj/ex123421.my.canva.site/fonts/83b37f2dcbb18c810da7cfa915708210.woff2	(from https://ex123421.my.canva.site/)
00:30:50	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2014%20Jul%202023%2020:30:47%20GMT	http://ex123421.my.canva.site/fonts/98c4d2c0223fc8474641c77f923528e9.woff2	C:/My%20Web%20Sites/ljjjkj/ex123421.my.canva.site/fonts/98c4d2c0223fc8474641c77f923528e9.woff2	(from https://ex123421.my.canva.site/)
